source,target,comment,task
"Stay clear of concrete slabs - they are often more expensive than natural stone, will fade over time and end up looking fake. Indiana Sandstone has dominated the paving slab market for many years as it is cheap, natural, accessible and looks good. Cheaper Native american indian Sandstone is not always the bargain it appears as it is more delicate, or poorer quality and more porous causing leaching with the minerals in the mortar on the top surface of the natural stone. There are some inexpensive granite slabs currently available that make a wonderful surface only slightly more expensive than Indian Sandstone. The more high-priced options are Travertine, York stone, Basalt, and Marble.","Try to avoid concrete slabs - it is often that they will be charged at a higher rate than natural stone, as well as fade over time inevitably winding up seeming as if they are fake. Indiana Sandstone has been at the forefront of the paving slab market for many years. This is because it is cheap, natural, not hard to obtain and has an aesthetic as if it is high quality. Cheaper Native American Sandstone is not going to always be the steal it seems to be since it is more brittle, or of a poorer quality. For example, it can be more porous (as in not as dense) causing leaching within the minerals in the mortar that is on the top face of the natural stone. There are a number of cheap granite slabs that are presently able to be purchased, which make a wonderful surface, such as a countertop or border for a garden, and they are only charged a bit higher than Indian Sandstone. The more high-priced ones you are able to purchase are Travertine, York stone, Basalt, and Marble. Although sandstone, in general, is easier to carve and shape when compared to other stones. So if you are considering how intense you want the labor to be, keep that in mind.",expand on the benefits of the product,others
"16/6.2. But once again, false Lords and false Gods began to set up kingdoms of their own, in heaven and in the cities of mortals. And, lo and behold, every one called himself either Thor or Apollo. And the spirits who manifested in the temples and for the oracles, all gave one of these names. And mortals who were obsessed, believed themselves to be the reincarnation of Apollo or Thor; the obsessing spirits calling themselves by these names. Others, more intelligent, said: Did the prophets not foretell that there was to be a second coming of Apollo? And are these spirits, who appear through the sar'gis, not the very person?","False Lords and Gods established kingdoms of their own, in heaven as well as cities. Everyone called themselves Thor or Apollo. And the spirits who appeared in oracles were all given one of these names. The obsessed mortals, considered themselves to be the reincarnation of Apollo or Thor. Other wiser people said: Didn't the prophets foretell Apollo's second coming? And are these spirits, who manifest through the Sar'gis, not the same person? ",make it more concise,others
"We have spoken of waves ""travelling"" at such and such a rate, but they do not in reality travel at all. It is the undulation, or, so to speak, the motion of a wave, that travels; in the same manner that a wave passes from one end of a carpet to the other end when it is shaken. The water remains stationary, excepting the spray and foam on the surface, and is only possessed of a rising and sinking motion. This undulatory motion, or impulse, is transmitted from each particle of water to its neighbouring particle, until it reaches the last drop of water on the shore. But when a wave reaches shallow water it has no longer room to sink to its proper depth; hence the water composing it acquires actual motion, and rushes to the land with more or less of the tremendous violence that has been already described.","We have had discussions regarding waves ""traveling"" at a various amount of rates, although, these waves are not traveling in the slightest. Rather, it is the undulation, or, in layman terms, the sway of a current, that is actually traveling; in the same way that when you toss up a carpet, a wave starts from one end of it and goes all the way to the other. The water stays exactly where it was before (with exception to the debris and foam floating on the surface), and only moves in a rising and sinking manner. This undulatory motion, or what we could call an impulse, is transmitted from each particle of water to the neighboring one, until the last drop of water inevitably reaches the shoreline. Whenever a wave starts to roll over shallow water, it does not have the space it requires in order to sink to its proper depth; in turn, the water composing it begins to display actual motion, and surges toward the shore with varying degrees of the immense destruction that was described previously.",write in prose,others
"According to police source, Fayyaz Ahmad of Vanike Tarar along with his two sisters Saima and Ghazala was on way to Alipur Chattha on his bike and when he reached near Kot Hara, a recklessly driven wagon hit the bike resultantly all the three were seriously injured and removed to the DHQ Hospital by the Rescue-1122 immediately but the doctor at emergency ward referred Fayyaz Ahmad to Lahore hospital where he succumbed to his injuries. On this, Sub Inspector Vanike Tarar Ghulam Rasool and the concerned doctor exchanged harsh words over referring the deceased to Lahore Hospital, which caused the death of Fayyaz Ahmad. However, the doctors protested against, but they alleged, insulting behaviour of the Sub Inspector Ghulam Sarwar and announced their decision to resort to strike Tuesday. Meanwhile, MS DHQ Hospital Dr. Irshad Ahmad Chattha has submitted written complaint against the ""insulting"" behaviour of the Sub Inspector and demanded appropriate action against him.","The police say that Fayyaz Ahmad of Vanike Tarar was riding his bike along with his two sisters, Saima and Ghazala, towards Alipur Chattha when a reckless wagon driver accidentally struck them, resulting in serious injuries. Rescue-1122 quickly brought the three of them to to the DHQ Hospital, but the doctor at emergency ward then referred Fayyaz Ahmad to Lahore hospital, where he later died. Sub Inspector Vanike Tarar Ghulam Rasool and the concerned doctor had an argument over the decision to refer Fayyaz to Lahore hospital. In response to what they claim was insulting behaviour from the Sub Inspector, the doctors protested and decided to strike on Tuesday. Dr. Irshad Ahmad Chattha has also submitted a formal complaint against the Sub Inspector for the alleged insulting behaviour.",Make the text more concise,others
"12 / 23 row pivot trailing NoTill planter w/ 2 point hitch, bulk fill, New Accu Drive with Accu Row electric clutches on every row controlled by AFS Pro 700 monitor, Accu Stat seed sensors, hydraulic variable rate seed drive, 36 GPM PTO pump with 1 3/4 PTO shaft, Pneumatic down pressure w/ in cab control, triple flat fold alternating markers, (23) Yetter No-Till dual wheel shark tooth narrow residue managers, Yetter serrated closing disc's, corn & soybean discs, Liquid fertilizer system with diaphragm pump & (2) 200 gallon tanks & stainless steel tubes for on row delivery on 12 rows with float balls for each row, low acres!","This is about a 12/23 row pivot trailing NoTill planter. It is fitted with a two point hitch, a bulk filler, and the new Accu Drive system, with Accu Row electric clutches on every row controlled by an AFS Pro 700 monitor. This trailer also features Accu Stat seed sensors, a hydraulic variable rate seed drive, and a 36 GPM PTO pump with 1 3/4 PTO shaft, as well as a Pneumatic down pressure system with in cab control, triple flat fold alternating markers, and Yetter No-Till dual wheel shark tooth narrow residue managers, featuring corn and soybean Yetter serrated closing discs. This trailer also features a liquid fertilizer system with a diaphragm pump and two 200 gallon tanks, plus stainless steel tubes for on row delivery across 12 rows with float balls for each row. Finally, this trailer is notable for having low acres.",Make sure the text is clear and easy to understand,others
As Spring appears to be making an appearance we will begin the work to prepare the grounds for the approaching summer. The Fish Pond is receiving an upgrade with some repairs to the lining; last Christmas a major leak developed and we had to relocate the fish to a ‘better place.’ The lining was damaged by shells and rocks being thrown into the pond. We need to be more careful and keep the pond clear of anything that would disrupt the natural flow of the water. We’re working with the pond vendor to decorate the interior with lighting and plastic holders for the plants. I know everyone loves the pond and so we are doing our best to keep it up to your high standards.,"Now that Spring is here, we are planning to begin preparing the grounds for the impending Summer. One of the plans we have is make repairs and improvements to the Fish Pond. Last Christmas the pond developed a severe leak forcing us to have the fish “taken care of”. The lining appeared to have been damaged by shells and rocks which had been thrown into the pond. We will have to ensure better care is taken of the pond after these renovations. We are currently working with the vendor to decorate the interior with lighting and plastic plant holders. These repairs and renovations will of course end up taking a toll on this year’s budget, but I know that everyone loves the pond, so we’re doing whatever we must to keep it up to your standards.",add a section on the budget,others
"We very much liked our cycling trip to Vietnam and really appreciated your leadership when we cycled to Hochiminh city. Our Vietnam trip started at the Tinh Bien International border crossing along the Mekong river delta road to Chau doc, the killing fields at Bachuc, then on to Can Tho where we had a very interesting time seeing the river people as well as the river market. The food and local fruits were excellent. The support crew was also very good. We also really enjoyed our bike trip from Can Tho to Tra Vinh with several ferry trips and the chance to cycle on the islands. While our trip ended at My Tho. We also appreciated your getting us to our hotel in Hochiminh city so that we could get out fights back home. Your efforts made a great experience for us and we would recommend your company to others who would be interested in making this trip.","We very much enjoyed our cycling trip to Vietnam and really appreciated your leadership when we cycled to Ho Chi Minh City. We began our adventure at the Tinh Bien International border crossing along the Mekong river delta road to Chau doc. It was stunning to cycle past the maze of rivers that comprise the delta and all the farms congregating around the rivers. We cycled through the killing fields at Bachuc and passed by the monument on our way to Can Tho. At Can Tho, we enjoyed seeing the river people and their river market. We knew that this river had so many fish! We loved the food and local fruits that we got to sample during our trip. The Jackfruit, which we were hesitant to try at first, was really delicious! We even got to try the rare mangosteen! The support crew was also really good. Riding the ferries on the way from Can Tho to TRa Vinh was really fun and being able to explore the islands on our bicycles was so fun. My Tho marked the end of our journey. Thank you so much for procuring a hotel room for us at Ho Chi Minh City so that we could get to our flights back home. Your efforts made a great experience for us and we would recommend your company to others who want to have such a fun adventure! ",add more details about the trip,others
"The Board remains concerned about the challenge of funding the deficit of approximately £35m from 2017/18. An application has been made to Government for a special dispensation to capitalise the deficit. If granted, the plan is to apply capital receipts to fund the deficit. The Board was strongly supportive of this application as it was the best available course of action in the circumstances. The Board is sceptical about whether the alternative option of making further cuts in 2018/19 is achievable in the time available, and is concerned about potentially irreparable damage to services and impact on residents. However, the Board noted that Government support for such a dispensation was unlikely to be forthcoming unless the County Council was seen to be taking effective action to avoid a further deficit in 2018/19.","Hello, there! So, the Board is not worried about the issue of funding the deficit of approximately £35m from 2017/18. They've actually applied to the government for a special dispensation to capitalize the deficit. You know, if it's approved, the plan is to use capital receipts to fund the deficit. I quite liked the way the Board strongly supported this application because it's really the best option they have right now. The thing is, the Board isn't too sure whether making further cuts in 2018/19 is actually achievable in the time they have left. They're worried about the potentially severe damage to services and its effect on residents. But there's a catch; the Board said that the government is unlikely to give such a dispensation unless the County Council takes effective action to make sure that there is no more deficit in 2018/19.",Use a more conversational tone.,others
"Dubbed the “Golden Generation”, the UAE’s 1990 squad now seems like a shining spot in a distant history. Although graced by an abundance of talented players, the UAE has since failed even to come close to qualifying again. And with more and more countries fighting for the five FIFA World Cup TM places on offer to Asia, the task seems more daunting than ever. However, while renowned worldwide as a hub of business, international exhibitions, leisure, sporting events and shopping, the United Arab Emirates is also working hard to improve its football standards in order to turn the nation into a force to be reckoned with around the world.","Named the ""Golden Generation,"" the 1990 team of UAE now appears as a gleaming memory. They finished at the top of their qualifying group, which included India, South Korea, and Qatar, and earned a historic qualification for the World Cup. Despite being blessed with numerous skilled players, UAE has failed to come close to qualifying again. Furthermore, with an increasing number of nations vying for the five FIFA World Cup TM spots available to Asia, the challenge seems more formidable than ever. Nevertheless, while famous globally as a center of commerce, international trade shows, recreation, athletic competitions, and retail therapy, the United Arab Emirates is also exerting considerable effort to enhance its football standards, aiming to transform the country into a globally recognized powerhouse.",add more statistics,others
"Denali offers one of the world's greatest mountaineering challenges. While it is exceeded in elevation by peaks in South America and Asia, its arctic environment, with extreme temperatures and harsh storms, and its great height above the Alaskan plain make it a severe test of personal strength, team work, and logistics. No peak in the world has greater relief: Denali rises 17,000 feet above its surrounding plain. In contrast, Kilimanjaro rises 14,000 feet over its surrounding plains and Everest, only 13,000 feet. Vertical elevation gain on Everest from the normal base camp for the South Col route is 11,000 feet; from our landing spot on the Kahiltna Glacier Denali's summit rises another 13,000 feet. As the tallest mountain on the North American continent, Denali is one of the Seven Summits.","Denali offers one of the world's most difficult mountaineering challenges. Its elevation may be surpassed by other peaks in South America and Asia, but it presents a unique challenge with its arctic environment, frigid temperatures, and unforgiving storms. Its significant height above the Alaskan plain makes it a harsh test for climbers' strength, team spirit, and logistics. It rises 17,000 feet above its surrounding areas! To put this in perspective, Kilimanjaro rises 14,000 feet over its surrounding plains, and Everest, believed to be the ultimate mountaineering challenge, rises a mere 13,000 feet. Even on Everest, from the normal base camp for the South Col route, the vertical elevation gain is 11,000 feet. But from our landing spot on the Kahiltna Glacier, Denali's summit rises another 13,000 feet. As the tallest mountain on the North American continent, Denali is rightly known as one of the Seven Summits.",Vary the pacing of your blog post to keep the reader engaged.,others
"The Dickinson Family Education Conservatory is going to open later this year. That's going to be amazing. The garden doesn't have an indoor space that size, so it's going to be a plant-filled space and a place for education, meetings and events. That's a major milestone. The Botanic Garden has what I like to refer to as the best problem, which is that too many people want to come to it. Obviously, the garden has been built over the years for a smaller visitation audience than now comes. People love it more than initially envisioned 10 or 20 years ago when infrastructure was being installed. You have this excellent problem of asking how do we accommodate a larger number of visitors than anybody thought would come? That's an exciting challenge.","Opening later this year, the Dickinson Family Education Conservatory is an exciting new addition to the Botanic Garden! Since the garden does not have a large indoor space, this will provide great opportunities for education, meetings, and events that will still have a garden theme. The Botanic Gardens already has the best problem: people really want to visit it! The garden was built for smaller audiences because there was some doubt about how popular it was going to be. However, it was extremely popular! Therefore, this new addition to the Botanic Gardens will allow for even larger groups of people to enjoy the beauty of this location! ",make it more exciting,others
"Last, we like to see a “buying thrust” at major lows. A buying thrust is an uncommon signal that occurs when nearly all stocks go higher for multiple days. On April 3 and 4, the ratios of the number of S&P 500 stocks higher to lower were 10:1 and 7:1, respectively. This strength could be a good sign, but the fact that it also took place at the 200-day moving average and early February lows makes it even better. These buying thrusts, though rare, have a knack for flushing out any final sellers. As Figure 3 shows, a year after a buying thrust, the S&P 500 has gained more than 16% on average and risen 93% of the time.","As the last part of the report, we would like to see a buying thrust” at major lows. To clarify, a buying thrust is a rare signal that occurs when nearly all stocks go higher for several successive days. Our research shows that on April 3rd and 4th, the ratios of the number of S&P 500 stocks higher to lower were 10:1 and 7:1, respectively. This indication of strength could be a good sign, but the fact that it transpired at the 200-day moving average and early February lows makes it even more advantageous. These buying thrusts, moreover, despite their rarity, have a particular means of revealing any final sellers. As demonstrated on Figure 3, a year after a buying thrust, the S&P 500 has accrued more than 16% on average and risen 93% of the time.",write in a more formal and professional style,others
"I have talked to too many people who shared that the traumas they carry were only re-triggered and made worse by the violence they witnessed within movements. When we say that we are committed to nonviolence, we are not only saying that we want to stop the violence “over there” that “those people” are committing. We also try to work on the ways we ourselves perpetuate harm as a result of our own unhealed traumas. We are working to heal our own selves as much as anyone we perceive as our enemies. We are working to change how we relate to each other in our own communities as much as we are working to change any policy.","Thesis: Popular social movements undertaken to help individuals should take great care not to re-traumatize the very people they are attempting to support. This is why we must continue to constantly improve the ways we relate to ourselves, our communities, and even those we perceive as enemies.

I have spoken with far too many people who have felt re-traumatized by the violence they saw within movements that were nominally working for their benefits. When we say that we are committed to nonviolence, that principle cannot be applied in a piecemeal fashion, where we state only that we wish to end “this kind of violence,” or “the violence that’s happening over here”. We must constantly strive to embody the principles we proclaim, and thus remain aware of the ways in which we may be perpetuating harm as a result of our own traumas. We have to work to heal ourselves just as hard as we do to heal others, and equally as hard  for those we perceive as enemies. We must be prepared to carry out a constant work of improving our relations within our own community alongside our work in our communities.",add a thesis statement,others
"1G, 2G, 3G, 4G - The Evolution of Wireless Generations. Posted by - NA - on 23 08 2008 02:37 AM. mobile wireless technologies have experience 4 or 5 generations of technology revolution and evolution, namely from 0G to 4G. 3G : High speed IP data networks. TO APPEAR IN WIRELESS COMMUNICATIONS AND MOBILE COMPUTING 1 Investigation of Multicast-Based Mobility Support in All-IP Cellular Networks Andreas Festag1, Holger Karl2, and location – is the fundamental problem of mobile IP-based networks and needs to. Wireless Phone and Computer Mobile Tracking. As computers connect to Internet, they initiate a connection via an assigned by an Internet Service Provider IP address. IP address (Internet Protocol) renders any network connected device as trackable, whether its point of origin is wireless mobile or wired stationary network..","The evolution of the wireless generations can be traced through the preceding 4 or 5 generations, namely from 0G to 4G. It should be noted that 3G is a high-speed data network. Nonetheless, multicast-based mobility support in all-IP cellular networks still recurs as a most fundamental quandary for mobile IP-based networks that is awaiting a solution. A quick diversion into terms: IP refers to Internet Protocol. Therefore, IP address render any network connected device as trackable, regardless if its point of origin is wireless or mobile or wired stationary.",write in a more formal style,others
"Oakcliff Sailing, Oyster Bay, NY is the only complete training and coaching center in the world. Oakcliff’s Sapling and Acorn programs create complete sailors who are capable of sailing in any position, fixing every aspect of a boat and managing a small marine business. Oakcliff trains sailors in match and fleet racing, inshore and offshore, fully crewed and short handed as well as providing access to historically significant classic yachts. Oakcliff is a non-profit organization open to all sailors of all ages and levels. Oakcliff has also been named an official US Sailing Team Sperry Top-Sider Training center with 8 each of the Olympic Classes: Nacra 17, 49er and 49er FX.","Oakcliff Sailing in Oyster Bay, New York, is pretty unique. It's the world's only complete training and coaching center. The Sapling and Acorn programs that Oakcliff offers are designed to create complete sailors who are capable of doing just about anything on a boat. They can sail in any position, fix the boat, and even operate a small marine business! The center also trains sailors in match and fleet racing, both inshore and offshore, fully crewed and short-handed, and provides access to historically significant classic yachts. Oakcliff is a non-profit that has programs suitable for all ages and skills! It has also been named an official US Sailing Team Sperry Top-Sider Training Center with eight each of the Olympic classes: Nacra 17, 49er, and 49er FX. Pretty impressive, right?",Vary the pacing of your blog post to keep the reader engaged.,others
"Paradise Helicopters - Hawaii's Most Unique Helicopter Experience! Enjoy the Hawaii few people ever witness on our one-of-a-kind air adventures departing out of Kona & Hilo on Hawaii Island, Lanai and Oahu. Whether flying Doors-Off over the volcano to feel the heat of the lava, hovering beside a 2000 foot waterfall, landing for stunning views on an epic ridge top, or photographing the remote beauty of Hawaii’s rare rain forest valleys, black and GREEN sand beaches – our Hawaiian helicopter tours offer a diverse set of adventure options to suit every need! This is one flight you will be sure to remember for a lifetime.","Paradise Helicopters is a company that is able to offer you one of the most authentic helicopter experiences available in Hawaii. Their air adventures, which are in a class of themself, will be departing from Kona & Hilo on Hawaii Island, Lanai as well as Oahu. There are an innumerable amount of experiences to enjoy, including flying over the island’s volcano with the helicopter’s doors off so you can feel the heat of the lava, floating next to a waterfall that scales over 2000 feet, landing on top of a grand ridge top for the amazing sights, or even trying your hand at photography, and capture the extremely rare and remote beauty of the rainforest valleys and black and green sand beaches that Hawaii provides. Paradise Helicopters’ tours will offer you a varying selection of options to make your experiences suit every need you could possibly think of! You will remember this flight for the rest of your life.",write in prose,others
